Method,UnlabeledFraction,RMSE,HoleRMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,0.25,1.6959900856018066,1.7696592807769775,2.574979543685913,1.0961071252822876,0.4958333373069763,2.8927361965179443,0.4041666626930237,0.14692984521389008,0.0,0.0,0.7919785839621909,0.008232666994445026
PointPseudoLabel,0.25,1.6257675886154175,1.7234528064727783,5.117786884307861,1.1546372175216675,0.28333333134651184,1.7857651710510254,0.6166666686534882,0.17828945815563202,1.0,0.0,0.802375292929355,0.001536874973680824
ConfidenceWeightedPseudoLabel,0.25,1.6592745780944824,1.7497541904449463,4.416590213775635,1.1632205247879028,0.32083332538604736,1.9374669790267944,0.5791666746139527,0.17587719857692719,0.03696246072649956,0.0,0.8063894179649651,0.0015160830225795507
SAGE-Reg,0.25,1.5825995206832886,1.662105679512024,2.3274948596954346,1.001213550567627,0.550000011920929,2.9656126499176025,0.34999998807907107,0.13070175051689148,0.8072776794433594,0.04095613211393356,0.9346223759930581,0.0021483339951373637
SAGE-Reg (No Weighting),0.25,1.6788909435272217,1.7203675508499146,2.456355333328247,1.0766602754592896,0.5083333253860474,3.002915859222412,0.39166667461395266,0.14057017862796783,1.0,0.0309281088411808,0.9326009179349057,0.0014338339678943157
SAGE-Reg (Single View),0.25,1.6693533658981323,1.7312242984771729,2.2885172367095947,1.0493606328964233,0.5625,3.2612290382385254,0.3375,0.1296052634716034,1.0,0.0,0.8398334999801591,0.001466332993004471
SAGE-Reg (No EMA),0.25,1.6327224969863892,1.7059139013290405,2.2758264541625977,1.0261492729187012,0.5625,3.1767218112945557,0.3375,0.1300438642501831,0.879025936126709,0.023847918957471848,0.9360598339699209,0.0016055000014603138
SupervisedOnly,0.5,1.659524917602539,1.7216812372207642,2.1133978366851807,1.0183199644088745,0.6291666626930237,3.5732052326202393,0.27083333730697634,0.11622806638479233,0.0,0.0,0.005075041961390525,0.0013475409941747785
PointPseudoLabel,0.5,1.56742262840271,1.6562305688858032,5.687820911407471,1.1237214803695679,0.2874999940395355,1.6167454719543457,0.6125000059604645,0.17916667461395264,1.0,0.0,0.013243374996818602,0.0013859999598935246
ConfidenceWeightedPseudoLabel,0.5,1.5924853086471558,1.658090591430664,4.5873026847839355,1.1224724054336548,0.2916666567325592,1.8041073083877563,0.6083333432674408,0.17456139624118805,0.04244980961084366,0.0,0.012873749947175384,0.0014284999924711883
SAGE-Reg,0.5,1.5936365127563477,1.6371090412139893,2.028433084487915,0.9685453772544861,0.6708333492279053,3.5194766521453857,0.22916665077209475,0.10811404138803482,0.8643724918365479,0.026580099016427994,0.16489858296699822,0.0014867919962853193
SAGE-Reg (No Weighting),0.5,1.6097731590270996,1.6624410152435303,2.102609872817993,0.9895531535148621,0.6041666865348816,3.4019036293029785,0.29583331346511843,0.11929824203252792,1.0,0.03167904168367386,0.17055787495337427,0.001545167004223913
SAGE-Reg (Single View),0.5,1.6113567352294922,1.6470381021499634,2.0472326278686523,0.9805165529251099,0.6625000238418579,3.495279550552368,0.2374999761581421,0.10964912921190262,1.0,0.0,0.0552490419941023,0.0015399169642478228
SAGE-Reg (No EMA),0.5,1.5398802757263184,1.6399261951446533,2.0924463272094727,0.9466381072998047,0.6333333253860474,3.194415807723999,0.26666667461395266,0.12017543613910675,0.834307074546814,0.03406289964914322,0.1349080839427188,0.0015952920075505972
SupervisedOnly,1.0,1.703546404838562,1.8067141771316528,2.588090658187866,1.0968369245529175,0.5083333253860474,2.9051120281219482,0.39166667461395266,0.14978070557117462,0.0,0.0,0.005117541004437953,0.0014005420380271971
PointPseudoLabel,1.0,1.6055426597595215,1.7457398176193237,4.737845420837402,1.1242027282714844,0.3291666805744171,1.8155149221420288,0.5708333194255829,0.17960526049137115,1.0,0.0,0.01738166605355218,0.0014765409869141877
ConfidenceWeightedPseudoLabel,1.0,1.6316379308700562,1.7539979219436646,5.225358009338379,1.1552917957305908,0.30000001192092896,1.774372935295105,0.5999999880790711,0.17960526049137115,0.03891604021191597,0.0,0.01416666602017358,0.0013709170161746442
SAGE-Reg,1.0,1.55630624294281,1.6481695175170898,2.1323025226593018,0.9624310731887817,0.6041666865348816,3.1852493286132812,0.29583331346511843,0.12017543613910675,0.8459491729736328,0.03085257112979889,0.1346135830390267,0.0015308330184780061
SAGE-Reg (No Weighting),1.0,1.643886685371399,1.7409017086029053,2.351365566253662,1.0380451679229736,0.5458333492279053,3.102942943572998,0.35416665077209475,0.13640351593494415,1.0,0.028167100623250008,0.14520108298165724,0.0014959999825805426
SAGE-Reg (Single View),1.0,1.674333930015564,1.7216830253601074,2.3260350227355957,1.0576014518737793,0.5291666388511658,3.1652092933654785,0.37083336114883425,0.132675439119339,1.0,0.0,0.05629341601161286,0.0014898329973220825
SAGE-Reg (No EMA),1.0,1.5839420557022095,1.722543478012085,2.299732208251953,0.9925844669342041,0.5833333134651184,2.98523211479187,0.3166666865348816,0.13333332538604736,0.8181188106536865,0.03791789710521698,0.14369816600810736,0.0017434170003980398
