Benchmark,ObjectiveMetric,ExtraMetric,tau,unlabeled_noise,feature_drop_prob,pseudo_weight,agreement_weight,weight_power,hard_weight_threshold,SupervisedObjective,ConfidenceObjective,SAGEObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement
year,NLL,Cov90,0.12,0.02,0.0,0.8,0.25,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.8166089057922363,0.5147583484649658,0.8931231498718262,0.860382080078125,0.786651611328125,0.649017333984375,0.9868404269218445,0.0016094213351607323
year,NLL,Cov90,0.12,0.02,0.0,0.8,0.25,1.0,0.85,1.3018505573272705,2.1949737071990967,1.8391671180725098,0.5373165607452393,0.8931231498718262,0.860382080078125,0.78680419921875,0.649017333984375,0.9889358282089233,0.0013442345662042499
year,NLL,Cov90,0.12,0.02,0.0,0.8,0.25,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.6592872142791748,0.3574366569519043,0.8931231498718262,0.860382080078125,0.79931640625,0.649017333984375,0.9766690731048584,0.0014445327688008547
year,NLL,Cov90,0.12,0.02,0.0,0.8,0.25,2.0,0.85,1.3018505573272705,2.1949737071990967,1.848865032196045,0.5470144748687744,0.8931231498718262,0.860382080078125,0.77423095703125,0.649017333984375,0.9621972441673279,0.0015637920005246997
year,NLL,Cov90,0.12,0.02,0.0,0.8,0.5,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.5577867031097412,0.2559361457824707,0.8931231498718262,0.860382080078125,0.79742431640625,0.649017333984375,0.9884603023529053,0.0014043746050447226
year,NLL,Cov90,0.12,0.02,0.0,0.8,0.5,1.0,0.85,1.3018505573272705,2.1949737071990967,1.5209170579910278,0.21906650066375732,0.8931231498718262,0.860382080078125,0.80780029296875,0.649017333984375,0.9899656772613525,0.0012201213976368308
year,NLL,Cov90,0.12,0.02,0.0,0.8,0.5,2.0,-1.0,1.3018505573272705,2.1949737071990967,1.5001485347747803,0.19829797744750977,0.8931231498718262,0.860382080078125,0.820587158203125,0.649017333984375,0.9772495031356812,0.0014060105895623565
year,NLL,Cov90,0.12,0.02,0.0,0.8,0.5,2.0,0.85,1.3018505573272705,2.1949737071990967,1.5450079441070557,0.24315738677978516,0.8931231498718262,0.860382080078125,0.808868408203125,0.649017333984375,0.9777654409408569,0.001274033566005528
year,NLL,Cov90,0.12,0.02,0.1,0.8,0.25,1.0,-1.0,1.3018505573272705,2.1949737071990967,1.8025357723236084,0.5006852149963379,0.8931231498718262,0.860382080078125,0.78009033203125,0.649017333984375,0.4113408923149109,0.365984171628952
year,NLL,Cov90,0.12,0.02,0.1,0.8,0.25,1.0,0.85,1.3018505573272705,2.1949737071990967,1.9956551790237427,0.6938046216964722,0.8931231498718262,0.860382080078125,0.778564453125,0.649017333984375,0.11081056296825409,0.26820147037506104
year,NLL,Cov90,0.12,0.02,0.1,0.8,0.25,2.0,-1.0,1.3018505573272705,2.1949737071990967,2.030778408050537,0.7289278507232666,0.8931231498718262,0.860382080078125,0.768646240234375,0.649017333984375,0.24481308460235596,0.29870349168777466
