Benchmark,ObjectiveMetric,ExtraMetric,tau,unlabeled_noise,feature_drop_prob,pseudo_weight,agreement_weight,weight_power,hard_weight_threshold,SupervisedObjective,ConfidenceObjective,SAGEObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement
year,NLL,Cov90,0.12,0.02,0.0,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.7713454961776733,0.46949493885040283,0.6790571212768555,0.860382080078125,0.785797119140625,0.703216552734375,0.9878219366073608,0.0014823455130681396
year,NLL,Cov90,0.12,0.02,0.0,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.7807340621948242,0.4788835048675537,0.6790571212768555,0.860382080078125,0.786651611328125,0.703216552734375,0.9877790212631226,0.0014875566121190786
year,NLL,Cov90,0.12,0.02,0.0,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.7861897945404053,0.48433923721313477,0.6790571212768555,0.860382080078125,0.786834716796875,0.703216552734375,0.9758462905883789,0.0014899709494784474
year,NLL,Cov90,0.12,0.02,0.0,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.803673267364502,0.5018227100372314,0.6790571212768555,0.860382080078125,0.784027099609375,0.703216552734375,0.9688644409179688,0.0015269009163603187
year,NLL,Cov90,0.12,0.02,0.0,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.533530831336975,0.2316802740097046,0.6790571212768555,0.860382080078125,0.810546875,0.703216552734375,0.9891052842140198,0.0013244184665381908
year,NLL,Cov90,0.12,0.02,0.0,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.5228838920593262,0.22103333473205566,0.6790571212768555,0.860382080078125,0.8116455078125,0.703216552734375,0.9891481995582581,0.0013193573104217649
year,NLL,Cov90,0.12,0.02,0.0,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.5196154117584229,0.21776485443115234,0.6790571212768555,0.860382080078125,0.81121826171875,0.703216552734375,0.9786017537117004,0.0013172808103263378
year,NLL,Cov90,0.12,0.02,0.0,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.5140957832336426,0.21224522590637207,0.6790571212768555,0.860382080078125,0.81158447265625,0.703216552734375,0.9751526713371277,0.0013326727785170078
year,NLL,Cov90,0.12,0.02,0.1,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.8321778774261475,0.530327320098877,0.6790571212768555,0.860382080078125,0.78546142578125,0.703216552734375,0.39350616931915283,0.29866164922714233
year,NLL,Cov90,0.12,0.02,0.1,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.786948561668396,0.4850980043411255,0.6790571212768555,0.860382080078125,0.795379638671875,0.703216552734375,0.08448973298072815,0.2952493131160736
year,NLL,Cov90,0.12,0.02,0.1,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.9234429597854614,0.6215924024581909,0.6790571212768555,0.860382080078125,0.780792236328125,0.703216552734375,0.25340843200683594,0.3027310073375702
year,NLL,Cov90,0.12,0.02,0.1,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.7708462476730347,0.46899569034576416,0.6790571212768555,0.860382080078125,0.81109619140625,0.703216552734375,0.03045724518597126,0.3065145015716553
year,NLL,Cov90,0.12,0.02,0.1,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.6391403675079346,0.33728981018066406,0.6790571212768555,0.860382080078125,0.80841064453125,0.703216552734375,0.42384690046310425,0.25818198919296265
year,NLL,Cov90,0.12,0.02,0.1,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.6729379892349243,0.3710874319076538,0.6790571212768555,0.860382080078125,0.823028564453125,0.703216552734375,0.08809488266706467,0.2755654454231262
year,NLL,Cov90,0.12,0.02,0.1,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.7007696628570557,0.39891910552978516,0.6790571212768555,0.860382080078125,0.80352783203125,0.703216552734375,0.2763545513153076,0.269333153963089
year,NLL,Cov90,0.12,0.02,0.1,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.7144455909729004,0.4125950336456299,0.6790571212768555,0.860382080078125,0.812652587890625,0.703216552734375,0.04124157875776291,0.2634164094924927
year,NLL,Cov90,0.12,0.02,0.2,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.8334342241287231,0.5315836668014526,0.6790571212768555,0.860382080078125,0.7862548828125,0.703216552734375,0.245536670088768,0.5013598799705505
year,NLL,Cov90,0.12,0.02,0.2,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.9543970823287964,0.6525465250015259,0.6790571212768555,0.860382080078125,0.78790283203125,0.703216552734375,0.02284521423280239,0.49880123138427734
year,NLL,Cov90,0.12,0.02,0.2,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.7994838953018188,0.49763333797454834,0.6790571212768555,0.860382080078125,0.787261962890625,0.703216552734375,0.13644540309906006,0.5057496428489685
year,NLL,Cov90,0.12,0.02,0.2,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.8194475173950195,0.517596960067749,0.6790571212768555,0.860382080078125,0.78912353515625,0.703216552734375,0.005208274349570274,0.5108898282051086
year,NLL,Cov90,0.12,0.02,0.2,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.5671041011810303,0.26525354385375977,0.6790571212768555,0.860382080078125,0.82025146484375,0.703216552734375,0.2729682922363281,0.44414955377578735
year,NLL,Cov90,0.12,0.02,0.2,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.670088529586792,0.3682379722595215,0.6790571212768555,0.860382080078125,0.821441650390625,0.703216552734375,0.03659706190228462,0.45486778020858765
year,NLL,Cov90,0.12,0.02,0.2,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.6219637393951416,0.3201131820678711,0.6790571212768555,0.860382080078125,0.81842041015625,0.703216552734375,0.15557092428207397,0.45404529571533203
