Benchmark,ObjectiveMetric,ExtraMetric,tau,unlabeled_noise,feature_drop_prob,feature_mix_prob,pseudo_weight,agreement_weight,weight_power,hard_weight_threshold,SupervisedObjective,ConfidenceObjective,SAGEObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement
year,NLL,Cov90,0.12,0.02,0.0,0.0,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.7713454961776733,0.46949493885040283,0.6790571212768555,0.860382080078125,0.785797119140625,0.703216552734375,0.9878219366073608,0.0014823455130681396
year,NLL,Cov90,0.12,0.02,0.0,0.0,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.7807340621948242,0.4788835048675537,0.6790571212768555,0.860382080078125,0.786651611328125,0.703216552734375,0.9877790212631226,0.0014875566121190786
year,NLL,Cov90,0.12,0.02,0.0,0.0,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.7861897945404053,0.48433923721313477,0.6790571212768555,0.860382080078125,0.786834716796875,0.703216552734375,0.9758462905883789,0.0014899709494784474
year,NLL,Cov90,0.12,0.02,0.0,0.0,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.803673267364502,0.5018227100372314,0.6790571212768555,0.860382080078125,0.784027099609375,0.703216552734375,0.9688644409179688,0.0015269009163603187
year,NLL,Cov90,0.12,0.02,0.0,0.0,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.533530831336975,0.2316802740097046,0.6790571212768555,0.860382080078125,0.810546875,0.703216552734375,0.9891052842140198,0.0013244184665381908
year,NLL,Cov90,0.12,0.02,0.0,0.0,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.5228838920593262,0.22103333473205566,0.6790571212768555,0.860382080078125,0.8116455078125,0.703216552734375,0.9891481995582581,0.0013193573104217649
year,NLL,Cov90,0.12,0.02,0.0,0.0,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.5196154117584229,0.21776485443115234,0.6790571212768555,0.860382080078125,0.81121826171875,0.703216552734375,0.9786017537117004,0.0013172808103263378
year,NLL,Cov90,0.12,0.02,0.0,0.0,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.5140957832336426,0.21224522590637207,0.6790571212768555,0.860382080078125,0.81158447265625,0.703216552734375,0.9751526713371277,0.0013326727785170078
year,NLL,Cov90,0.12,0.02,0.0,0.1,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.939921498298645,0.6380709409713745,0.6790571212768555,0.860382080078125,0.791900634765625,0.703216552734375,0.22921715676784515,0.6734580993652344
year,NLL,Cov90,0.12,0.02,0.0,0.1,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,2.36946177482605,1.0676112174987793,0.6790571212768555,0.860382080078125,0.778533935546875,0.703216552734375,0.03353496268391609,0.6641905903816223
year,NLL,Cov90,0.12,0.02,0.0,0.1,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,2.045827865600586,0.7439773082733154,0.6790571212768555,0.860382080078125,0.788665771484375,0.703216552734375,0.12395896762609482,0.6842365264892578
year,NLL,Cov90,0.12,0.02,0.0,0.1,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,2.267192840576172,0.9653422832489014,0.6790571212768555,0.860382080078125,0.79302978515625,0.703216552734375,0.007042244542390108,0.6462464332580566
year,NLL,Cov90,0.12,0.02,0.0,0.1,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.7641865015029907,0.4623359441757202,0.6790571212768555,0.860382080078125,0.808746337890625,0.703216552734375,0.2588517367839813,0.5928835868835449
year,NLL,Cov90,0.12,0.02,0.0,0.1,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.8566515445709229,0.5548009872436523,0.6790571212768555,0.860382080078125,0.80206298828125,0.703216552734375,0.04099595919251442,0.5856466293334961
year,NLL,Cov90,0.12,0.02,0.0,0.1,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.808478832244873,0.5066282749176025,0.6790571212768555,0.860382080078125,0.807861328125,0.703216552734375,0.14476554095745087,0.6027732491493225
year,NLL,Cov90,0.12,0.02,0.0,0.1,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,2.022296667098999,0.7204461097717285,0.6790571212768555,0.860382080078125,0.812255859375,0.703216552734375,0.010536697693169117,0.5874459743499756
year,NLL,Cov90,0.12,0.02,0.0,0.2,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.8522570133209229,0.5504064559936523,0.6790571212768555,0.860382080078125,0.805511474609375,0.703216552734375,0.11045585572719574,1.0734400749206543
year,NLL,Cov90,0.12,0.02,0.0,0.2,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.9385037422180176,0.6366531848907471,0.6790571212768555,0.860382080078125,0.807373046875,0.703216552734375,0.014236601069569588,1.0333529710769653
year,NLL,Cov90,0.12,0.02,0.0,0.2,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,2.068070650100708,0.7662200927734375,0.6790571212768555,0.860382080078125,0.793975830078125,0.703216552734375,0.05157051235437393,1.0935457944869995
year,NLL,Cov90,0.12,0.02,0.0,0.2,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.7166144847869873,0.4147639274597168,0.6790571212768555,0.860382080078125,0.8089599609375,0.703216552734375,0.0,1.062143087387085
year,NLL,Cov90,0.12,0.02,0.0,0.2,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.6308457851409912,0.3289952278137207,0.6790571212768555,0.860382080078125,0.82574462890625,0.703216552734375,0.13403679430484772,0.9315755367279053
year,NLL,Cov90,0.12,0.02,0.0,0.2,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.6622854471206665,0.360434889793396,0.6790571212768555,0.860382080078125,0.833740234375,0.703216552734375,0.02097332291305065,0.9356591105461121
year,NLL,Cov90,0.12,0.02,0.0,0.2,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.7281872034072876,0.4263366460800171,0.6790571212768555,0.860382080078125,0.818389892578125,0.703216552734375,0.06552748382091522,0.9576516151428223
year,NLL,Cov90,0.12,0.02,0.0,0.2,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,2.0265445709228516,0.724694013595581,0.6790571212768555,0.860382080078125,0.826080322265625,0.703216552734375,0.0,0.995980978012085
year,NLL,Cov90,0.12,0.02,0.1,0.0,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.8321778774261475,0.530327320098877,0.6790571212768555,0.860382080078125,0.78546142578125,0.703216552734375,0.39350616931915283,0.29866164922714233
year,NLL,Cov90,0.12,0.02,0.1,0.0,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.786948561668396,0.4850980043411255,0.6790571212768555,0.860382080078125,0.795379638671875,0.703216552734375,0.08448973298072815,0.2952493131160736
year,NLL,Cov90,0.12,0.02,0.1,0.0,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.9234429597854614,0.6215924024581909,0.6790571212768555,0.860382080078125,0.780792236328125,0.703216552734375,0.25340843200683594,0.3027310073375702
year,NLL,Cov90,0.12,0.02,0.1,0.0,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.7708462476730347,0.46899569034576416,0.6790571212768555,0.860382080078125,0.81109619140625,0.703216552734375,0.03045724518597126,0.3065145015716553
year,NLL,Cov90,0.12,0.02,0.1,0.0,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.6391403675079346,0.33728981018066406,0.6790571212768555,0.860382080078125,0.80841064453125,0.703216552734375,0.42384690046310425,0.25818198919296265
year,NLL,Cov90,0.12,0.02,0.1,0.0,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.6729379892349243,0.3710874319076538,0.6790571212768555,0.860382080078125,0.823028564453125,0.703216552734375,0.08809488266706467,0.2755654454231262
year,NLL,Cov90,0.12,0.02,0.1,0.0,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.7007696628570557,0.39891910552978516,0.6790571212768555,0.860382080078125,0.80352783203125,0.703216552734375,0.2763545513153076,0.269333153963089
year,NLL,Cov90,0.12,0.02,0.1,0.0,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.7144455909729004,0.4125950336456299,0.6790571212768555,0.860382080078125,0.812652587890625,0.703216552734375,0.04124157875776291,0.2634164094924927
year,NLL,Cov90,0.12,0.02,0.1,0.1,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.8467530012130737,0.5449024438858032,0.6790571212768555,0.860382080078125,0.7965087890625,0.703216552734375,0.17864298820495605,0.679598331451416
year,NLL,Cov90,0.12,0.02,0.1,0.1,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,2.0330450534820557,0.7311944961547852,0.6790571212768555,0.860382080078125,0.788909912109375,0.703216552734375,0.015823200345039368,0.6930869817733765
year,NLL,Cov90,0.12,0.02,0.1,0.1,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.854694128036499,0.5528435707092285,0.6790571212768555,0.860382080078125,0.80059814453125,0.703216552734375,0.08714458346366882,0.6792440414428711
year,NLL,Cov90,0.12,0.02,0.1,0.1,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.8575024604797363,0.5556519031524658,0.6790571212768555,0.860382080078125,0.8062744140625,0.703216552734375,0.005099541042000055,0.6784767508506775
year,NLL,Cov90,0.12,0.02,0.1,0.1,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.5967185497283936,0.29486799240112305,0.6790571212768555,0.860382080078125,0.818084716796875,0.703216552734375,0.20514467358589172,0.5889752507209778
year,NLL,Cov90,0.12,0.02,0.1,0.1,0.4,0.5,1.0,0.85,1.3018505573272705,1.980907678604126,1.7442914247512817,0.44244086742401123,0.6790571212768555,0.860382080078125,0.814208984375,0.703216552734375,0.014277040958404541,0.6251541376113892
year,NLL,Cov90,0.12,0.02,0.1,0.1,0.4,0.5,2.0,-1.0,1.3018505573272705,1.980907678604126,1.683422327041626,0.38157176971435547,0.6790571212768555,0.860382080078125,0.812347412109375,0.703216552734375,0.10005747526884079,0.616561770439148
year,NLL,Cov90,0.12,0.02,0.1,0.1,0.4,0.5,2.0,0.85,1.3018505573272705,1.980907678604126,1.7642526626586914,0.4624021053314209,0.6790571212768555,0.860382080078125,0.826141357421875,0.703216552734375,0.007117859087884426,0.5901191234588623
year,NLL,Cov90,0.12,0.02,0.1,0.2,0.4,0.25,1.0,-1.0,1.3018505573272705,1.980907678604126,1.8046681880950928,0.5028176307678223,0.6790571212768555,0.860382080078125,0.802703857421875,0.703216552734375,0.10694600641727448,0.9661219120025635
year,NLL,Cov90,0.12,0.02,0.1,0.2,0.4,0.25,1.0,0.85,1.3018505573272705,1.980907678604126,1.7042899131774902,0.4024393558502197,0.6790571212768555,0.860382080078125,0.810760498046875,0.703216552734375,0.005161457695066929,1.0008028745651245
year,NLL,Cov90,0.12,0.02,0.1,0.2,0.4,0.25,2.0,-1.0,1.3018505573272705,1.980907678604126,1.8565406799316406,0.5546901226043701,0.6790571212768555,0.860382080078125,0.7899169921875,0.703216552734375,0.04516513645648956,1.0293114185333252
year,NLL,Cov90,0.12,0.02,0.1,0.2,0.4,0.25,2.0,0.85,1.3018505573272705,1.980907678604126,1.962834358215332,0.6609838008880615,0.6790571212768555,0.860382080078125,0.786773681640625,0.703216552734375,0.0,1.0399396419525146
year,NLL,Cov90,0.12,0.02,0.1,0.2,0.4,0.5,1.0,-1.0,1.3018505573272705,1.980907678604126,1.589998483657837,0.2881479263305664,0.6790571212768555,0.860382080078125,0.823455810546875,0.703216552734375,0.12236952781677246,0.8588147163391113
