Method,Backbone,Regime,UnlabeledFraction,RMSE,NLL,CRPS,Cov90,CoverageGap90,Width90,PITChi2,MeanWeight,MeanDisagreement,train_s,eval_s
Gaussian Supervised,Gaussian,Supervised,0.25,1.4719839096069336,2.118990421295166,0.44707202911376953,0.59375,0.30625,2.9480671882629395,135.125,0.0,0.0,0.4853772909991676,0.008293791994219646
Gaussian SAGE-Reg,Gaussian,SAGE-Reg,0.25,1.3761091232299805,1.9044134616851807,0.4126800000667572,0.6625000238418579,0.2374999761581421,2.9964401721954346,96.25,0.9972425103187561,0.0004145426501054317,0.11959166701126378,0.004821583002922125
Quantile Supervised,Quantile,Supervised,0.25,1.4865732192993164,1.6643444299697876,0.4033660292625427,0.6187499761581421,0.28125002384185793,3.182091236114502,132.625,0.0,0.0,0.03603187500266358,0.007634624998900108
Quantile SAGE-Reg,Quantile,SAGE-Reg,0.25,1.4932111501693726,1.349147081375122,0.4450938105583191,0.42500001192092896,0.47499998807907107,2.074254035949707,265.75,0.9767954349517822,0.006589100696146488,0.19207783300953452,0.00657899999350775
Bar Supervised,Bar,Supervised,0.25,1.4893814325332642,2.362739086151123,0.43506193044804453,0.59375,0.30625,3.1169867915692553,128.125,0.0,0.0,0.029591708007501438,0.0263988749939017
Bar SAGE-Reg,Bar,SAGE-Reg,0.25,1.4887349605560303,2.3906145095825195,0.42977985643089234,0.581250011920929,0.31874998807907107,3.1508971711193348,127.5,0.9995850324630737,0.00012455327669158578,0.23792179200972896,0.025903707995894365
Gaussian Supervised,Gaussian,Supervised,0.5,1.438730239868164,2.1261439323425293,0.44067448377609253,0.5687500238418579,0.3312499761581421,2.8020596504211426,137.0,0.0,0.0,0.026327500003390014,0.00501750000694301
Gaussian SAGE-Reg,Gaussian,SAGE-Reg,0.5,1.443587303161621,2.0728254318237305,0.4433034360408783,0.6187499761581421,0.28125002384185793,2.8959062099456787,129.875,0.997226893901825,0.00041714144754223526,0.11709420799161308,0.004517833003774285
Quantile Supervised,Quantile,Supervised,0.5,1.445609211921692,1.5880320072174072,0.37926366925239563,0.668749988079071,0.23125001192092898,3.1453418731689453,100.0,0.0,0.0,0.0332060420041671,0.006739375006873161
Quantile SAGE-Reg,Quantile,SAGE-Reg,0.5,1.4521923065185547,1.3501012325286865,0.4387715756893158,0.42500001192092896,0.47499998807907107,2.0653469562530518,272.125,0.9639954566955566,0.01034383662045002,0.21215991700591985,0.006558125009178184
Bar Supervised,Bar,Supervised,0.5,1.4481189250946045,2.341684341430664,0.4200516342232576,0.625,0.275,3.181974235788462,98.25,0.0,0.0,0.025529292004648596,0.026531124996836297
Bar SAGE-Reg,Bar,SAGE-Reg,0.5,1.4817830324172974,2.2650341987609863,0.4266783413033785,0.6499999761581421,0.25000002384185793,3.4313825848915265,93.25,0.9994833469390869,0.0001550758461235091,0.26067766699998174,0.02617587499844376
Gaussian Supervised,Gaussian,Supervised,1.0,1.4147018194198608,2.0161657333374023,0.42708534002304077,0.606249988079071,0.293750011920929,2.8639137744903564,112.625,0.0,0.0,0.026276082993717864,0.00485337499412708
Gaussian SAGE-Reg,Gaussian,SAGE-Reg,1.0,1.4555652141571045,2.011411190032959,0.4363112449645996,0.59375,0.30625,2.9946231842041016,114.125,0.9980007410049438,0.00030040074489079416,0.11743495900009293,0.0044312919926596805
Quantile Supervised,Quantile,Supervised,1.0,1.4877142906188965,1.4219483137130737,0.4052312970161438,0.6312500238418579,0.2687499761581421,3.0378003120422363,128.5,0.0,0.0,0.03333874999952968,0.006663459003902972
Quantile SAGE-Reg,Quantile,SAGE-Reg,1.0,1.4289988279342651,1.197425365447998,0.4334022104740143,0.4000000059604645,0.49999999403953554,2.030425548553467,260.375,0.9795810580253601,0.005802788771688938,0.21190287500212435,0.006452125002397224
Bar Supervised,Bar,Supervised,1.0,1.4971853494644165,2.322775363922119,0.4352374350114035,0.637499988079071,0.262500011920929,3.223021310772041,105.875,0.0,0.0,0.025376958001288585,0.026179667009273544
Bar SAGE-Reg,Bar,SAGE-Reg,1.0,1.4621084928512573,2.272073984146118,0.41805840417721696,0.65625,0.24375000000000002,3.341788338138675,92.375,0.9992800951004028,0.0002161622396670282,0.2618040410015965,0.025770249994820915
