Method,UnlabeledFraction,RMSE,HoleRMSE,NLL,CRPS,Cov90,Width90,CoverageGap90,CalibMAE,MeanWeight,MeanDisagreement,train_s,eval_s
SupervisedOnly,0.25,2.822614908218384,3.160940647125244,5.278676986694336,1.9642106294631958,0.34166666865348816,3.0088398456573486,0.5583333313465119,0.16184209287166595,0.0,0.0,0.5389666249975562,0.0011620830046012998
PointPseudoLabel,0.25,2.810149669647217,3.147675037384033,134.28448486328125,2.2160675525665283,0.2541666626930237,1.1973923444747925,0.6458333373069763,0.18464910984039307,1.0,0.0,0.5660851669963449,0.0011236669961363077
ConfidenceWeightedPseudoLabel,0.25,2.814983606338501,3.154448986053467,34.09257125854492,2.154318332672119,0.2708333432674408,1.5859421491622925,0.6291666567325592,0.18355262279510498,0.04850948601961136,0.0,0.5652488750056364,0.0010172920010518283
SAGE-Reg,0.25,2.7991831302642822,3.158144474029541,5.293393135070801,1.9427380561828613,0.3499999940395355,3.0057504177093506,0.5500000059604645,0.1616228073835373,0.8794578909873962,0.02349848672747612,0.8130090000049677,0.0010191659966949373
SAGE-Reg (No Weighting),0.25,2.770998001098633,3.123384952545166,4.9840240478515625,1.9109622240066528,0.3541666567325592,3.104531764984131,0.5458333432674408,0.1570175588130951,1.0,0.01825421303510666,0.8111262079910375,0.0010146249987883493
SAGE-Reg (Single View),0.25,2.7952539920806885,3.140476703643799,4.837588310241699,1.922467589378357,0.36666667461395264,3.1857805252075195,0.5333333253860474,0.15460526943206787,1.0,0.0,0.6584392499935348,0.0010727499902714044
SAGE-Reg (No EMA),0.25,2.853282928466797,3.209531307220459,5.456336975097656,1.9879419803619385,0.3499999940395355,3.0018270015716553,0.5500000059604645,0.1616228073835373,0.8650239706039429,0.026376862078905106,0.9586315829947125,0.0013310420035850257
SupervisedOnly,0.5,2.78446626663208,3.1175150871276855,4.963187217712402,1.9248809814453125,0.3583333194255829,3.0519864559173584,0.5416666805744171,0.15833334624767303,0.0,0.0,0.03542225000273902,0.0011597920092754066
PointPseudoLabel,0.5,2.771994113922119,3.093655586242676,187.11431884765625,2.1909141540527344,0.2708333432674408,1.2230985164642334,0.6291666567325592,0.17960529029369354,1.0,0.0,0.06761254199955147,0.0011367499973857775
ConfidenceWeightedPseudoLabel,0.5,2.8084464073181152,3.136221408843994,59.29059982299805,2.168071746826172,0.28333333134651184,1.5105830430984497,0.6166666686534882,0.18070176243782043,0.053811442106962204,0.0,0.06849779099866282,0.0011655420094029978
SAGE-Reg,0.5,2.834341049194336,3.1601901054382324,4.6880598068237305,1.9431325197219849,0.36250001192092896,3.2812349796295166,0.5374999880790711,0.1524122953414917,0.8846989870071411,0.022543849423527718,0.3934751659980975,0.0012058749998686835
SAGE-Reg (No Weighting),0.5,2.804138422012329,3.149217367172241,4.676498889923096,1.922041654586792,0.375,3.237596273422241,0.525,0.1550438553094864,1.0,0.018390566110610962,0.3028726250049658,0.000949958004639484
SAGE-Reg (Single View),0.5,2.8162267208099365,3.146864175796509,4.783623695373535,1.9355394840240479,0.36250001192092896,3.2120676040649414,0.5374999880790711,0.15526315569877625,1.0,0.0,0.14582137500110548,0.0008894169877748936
SAGE-Reg (No EMA),0.5,2.8804757595062256,3.2100300788879395,4.698687553405762,1.9764958620071411,0.36666667461395264,3.3309643268585205,0.5333333253860474,0.15877194702625275,0.8959751129150391,0.020389864221215248,0.29199250000237953,0.0009447080083191395
SupervisedOnly,1.0,2.769516944885254,3.1137797832489014,5.038069248199463,1.9147762060165405,0.3583333194255829,3.053736448287964,0.5416666805744171,0.15614037215709686,0.0,0.0,0.017070542002329603,0.0008889169985195622
PointPseudoLabel,1.0,2.769028663635254,3.096062660217285,248.87509155273438,2.1915066242218018,0.28333333134651184,1.2695443630218506,0.6166666686534882,0.17412281036376953,1.0,0.0,0.04577462500310503,0.0008723750070203096
ConfidenceWeightedPseudoLabel,1.0,2.804607391357422,3.1293933391571045,114.60517883300781,2.186959981918335,0.2750000059604645,1.3316380977630615,0.6249999940395355,0.18684208393096924,0.03952210023999214,0.0,0.045866375003242865,0.000871583994012326
SAGE-Reg,1.0,2.8622941970825195,3.186593532562256,4.686808109283447,1.9617711305618286,0.36666667461395264,3.3381805419921875,0.5333333253860474,0.15350878238677979,0.8829933404922485,0.02291589230298996,0.2799830000003567,0.0009162079950328916
SAGE-Reg (No Weighting),1.0,2.8378827571868896,3.1676299571990967,5.1168975830078125,1.9652141332626343,0.34583333134651184,3.1122562885284424,0.5541666686534882,0.15767544507980347,1.0,0.023123251274228096,0.277387957990868,0.0008745000086491928
SAGE-Reg (Single View),1.0,2.8216676712036133,3.1761627197265625,5.311744689941406,1.960019588470459,0.3541666567325592,3.0258748531341553,0.5458333432674408,0.1600877195596695,1.0,0.0,0.12731100000382867,0.000884250010130927
SAGE-Reg (No EMA),1.0,2.821535110473633,3.1513772010803223,4.666917324066162,1.9315929412841797,0.36666667461395264,3.3229310512542725,0.5333333253860474,0.15372808277606964,0.8860440850257874,0.022225309163331985,0.275293792001321,0.000945583000429906
