f0,f1,f2,f3,f4,f5,f6,f7,target
0.3047171,-0.30978757,-0.42249957,0.024231598,-0.20805658,0.78267205,-0.9662902,0.019174866,-0.05950211
-1.0399841,0.060236175,0.9695493,0.5869293,0.106168196,-0.31128025,-0.9006473,0.9074593,-0.69806355
0.7504512,-1.2407559,-0.43265018,0.016242933,-0.24589264,1.5276701,0.5126799,0.43788564,0.23416272
0.9405647,-1.3877536,0.35496995,-0.18231134,-0.30350438,-1.0092676,0.73188317,0.02837937,-1.1778989
-1.9510351,0.18229778,-0.12540445,0.02735799,-0.8331349,-1.680847,1.7354379,0.73781073,0.37443668
-1.3021795,-0.75778055,0.04444673,-0.28697926,-1.0928721,-1.9291598,-0.94108653,-0.6469365,-0.015509865
0.1278404,-1.4525117,0.09303681,1.5493193,1.0993882,0.7949478,1.7591901,1.1134909,-2.2393746
-0.3162426,0.96534127,-0.44570675,0.2702408,-1.6790587,-0.69606435,-0.26028562,0.66359794,0.1930852
-0.016801158,-0.6317947,-1.2296215,-0.48646265,-0.018684879,-0.14036855,0.079022385,0.45342964,1.6982503
-0.8530439,1.1498116,0.76613176,-1.8080262,-0.06411942,1.094373,-0.116889715,-0.1077418,-0.098292634
0.879398,0.028470792,1.5935467,-0.19720857,-0.046925485,0.32874182,0.25343335,-0.6212172,0.17990093
0.7777919,0.29475886,1.6592155,-0.5768239,0.6648668,-1.1861202,0.69723123,-1.7653445,-0.71458733
0.066030696,-0.21149975,-0.5532699,-0.6139609,-0.37073845,1.6241933,1.0375533,-1.7628483,2.3733733
1.1272413,-2.6551623,-0.73317075,0.9426113,0.65300125,-0.290995,-0.24439248,-1.6725056,2.244193
0.46750933,-1.1367865,-0.5542824,0.07973566,1.9858775,-0.06294387,0.08874291,1.2229202,1.7343007
-0.85929245,-0.12570946,-0.1758374,-1.6824453,-0.15221171,-0.7128249,-0.9110977,-0.6574268,2.0991828
0.36875078,0.36472914,-0.052460965,0.6188319,-2.0319786,-1.1156446,0.67782384,-1.2094864,-0.881262
-0.95888263,-1.789674,-0.99792844,-1.5820366,-0.14254643,0.2303599,0.26603884,-0.09049794,-1.2692922
