Benchmark,Seed,ObjectiveMetric,ExtraMetric,SupervisedObjective,SAGEObjective,ConfidenceObjective,SAGEMinusSupervised,ConfidenceMinusSupervised,SupervisedExtra,SAGEExtra,ConfidenceExtra,SAGEMeanWeight,SAGEMeanDisagreement,MeanTeacherObjective,MeanTeacherMinusSupervised,MeanTeacherExtra,SupervisedNLL_ID,SAGENLL_ID,SupervisedRMSE_OOD,SAGERMSE_OOD
year,260410,NLL,Cov90,2.0363712310791016,2.111478090286255,3.7012219429016113,0.07510685920715332,1.6648507118225098,0.770294189453125,0.717376708984375,0.5716552734375,0.30314135551452637,0.9093413949012756,3.0226309299468994,0.9862596988677979,0.655364990234375,,,,
higgs_public,260410,NLL_OOD,Cov90_OOD,120.49363708496094,7.114779472351074,485.8023376464844,-113.37885761260986,365.30870056152344,0.5448242425918579,0.510498046875,0.22939452528953552,0.2607088088989258,1.7736141681671143,244.40164184570312,123.90800476074219,0.534924328327179,1.438955545425415,3.0563368797302246,2.0331344604492188,2.2331862449645996
year,260411,NLL,Cov90,2.037259578704834,2.2345240116119385,3.677074432373047,0.1972644329071045,1.639814853668213,0.754608154296875,0.707366943359375,0.551483154296875,0.2616882026195526,0.8904620409011841,3.5483527183532715,1.5110931396484375,0.637298583984375,,,,
higgs_public,260411,NLL_OOD,Cov90_OOD,74.01261138916016,7.0267229080200195,501.525390625,-66.98588848114014,427.51277923583984,0.5481933355331421,0.509960949420929,0.26512449979782104,0.2937946319580078,1.4847580194473267,218.8621826171875,144.84957122802734,0.42999267578125,1.2434520721435547,1.922910451889038,2.062878131866455,2.2301738262176514
year,260412,NLL,Cov90,1.926531195640564,1.9597437381744385,3.8046998977661133,0.03321254253387451,1.8781687021255493,0.751190185546875,0.73834228515625,0.537811279296875,0.26892930269241333,0.907093346118927,3.703909158706665,1.777377963066101,0.648895263671875,,,,
higgs_public,260412,NLL_OOD,Cov90_OOD,11.895071029663086,6.61956787109375,490.65545654296875,-5.275503158569336,478.76038551330566,0.5914306640625,0.507189929485321,0.22950439155101776,0.3259708285331726,0.8576481938362122,208.61270141601562,196.71763038635254,0.43439942598342896,1.2005343437194824,1.2624590396881104,2.093609094619751,2.2554006576538086
year,260413,NLL,Cov90,2.138920307159424,2.078734874725342,3.602339267730713,-0.06018543243408203,1.463418960571289,0.75177001953125,0.72064208984375,0.54254150390625,0.2650997042655945,0.8742808699607849,3.174668312072754,1.03574800491333,0.66131591796875,,,,
higgs_public,260413,NLL_OOD,Cov90_OOD,18.787925720214844,6.171714782714844,399.17401123046875,-12.6162109375,380.3860855102539,0.559802234172821,0.511096179485321,0.08013916015625,0.2616024911403656,1.32872474193573,326.44500732421875,307.6570816040039,0.44111329317092896,1.181138515472412,1.1898307800292969,1.9615306854248047,2.2034900188446045
year,260414,NLL,Cov90,2.2336573600769043,2.463284969329834,3.619178295135498,0.2296276092529297,1.3855209350585938,0.745635986328125,0.707275390625,0.5531005859375,0.2684412896633148,0.8845397233963013,3.5699808597564697,1.3363234996795654,0.636077880859375,,,,
higgs_public,260414,NLL_OOD,Cov90_OOD,38.064029693603516,7.432419776916504,460.6485290527344,-30.63160991668701,422.58449935913086,0.55157470703125,0.51611328125,0.24741211533546448,0.25271981954574585,1.417565941810608,257.896728515625,219.83269882202148,0.4994140565395355,1.2378771305084229,1.900848388671875,2.090374231338501,2.2410342693328857
year,260415,NLL,Cov90,2.427048444747925,2.3336334228515625,3.9543352127075195,-0.0934150218963623,1.5272867679595947,0.75677490234375,0.720062255859375,0.545684814453125,0.31014004349708557,0.7339799404144287,3.998415231704712,1.571366786956787,0.65283203125,,,,
higgs_public,260415,NLL_OOD,Cov90_OOD,108.92301940917969,6.5263519287109375,446.37738037109375,-102.39666748046875,337.45436096191406,0.656018078327179,0.50921630859375,0.20815429091453552,0.25474539399147034,1.3882137537002563,257.98321533203125,149.06019592285156,0.4901977479457855,1.9128596782684326,1.2574083805084229,1.9523261785507202,2.2366902828216553
