f0,f1,f2,f3,f4,f5,f6,f7,target
1.1783502,2.6155298,0.89334786,-0.32728398,-0.2406753,-1.6778547,2.0383482,-1.0669845,0.45832312
0.44489554,0.8369865,-0.03839947,-1.4175427,-1.0540316,0.058261886,-0.9171923,0.058905043,1.0295068
-0.46124712,0.6464694,-0.19203237,-0.5986154,0.7902024,-1.6937139,-0.055275448,0.3198973,0.40251064
-0.666136,-0.7951536,-0.43889806,1.0417511,-0.83623654,-0.41171896,0.16516794,1.8229434,-1.9311786
0.16344607,-1.0536971,-1.450625,0.7515454,-1.019468,1.1465818,-0.39340243,-0.33404535,-0.22783543
0.49661523,0.3351528,0.30922598,1.5165693,-1.012477,-1.2138364,-1.0510892,0.25210732,3.2739003
-1.3838197,0.18978715,0.17798592,-1.4324684,-1.8281338,-0.5034339,-0.17449206,-0.51431465,-0.016103541
0.60746306,-0.4438894,-0.5413271,0.3271809,-0.69341224,0.42824256,0.82278883,-0.13550624,-1.9438062
1.0364895,0.15711936,0.3511812,0.080675445,0.5142113,-2.1089084,-0.72208226,0.39068866,1.1884314
-2.049402,-0.9015209,1.3281457,-0.7642693,-0.9707105,0.4733058,-1.5654662,-0.85166365,2.338434
1.1478765,0.16041496,0.8865722,-1.9253452,0.3924532,0.80883425,0.27571487,2.0689394,-3.4815545
-0.28270465,-1.7241215,-1.3483448,-0.34292805,-0.3229411,0.032784864,0.2279287,-0.6770553,-2.55056
1.9171933,0.6567444,1.0012971,-1.4621931,-0.89830625,-0.63734055,0.2835721,-0.37434515,-0.95496887
-1.8122865,0.386084,0.473999,0.14988433,-0.31792396,1.7059696,0.52117753,-0.7626635,0.8468366
0.24108963,-0.7936223,-1.55506,0.7816467,0.72453403,-0.14041227,-2.7391691,0.2621531,3.854558
-0.8161802,-0.036670834,-2.1025953,-0.25943702,0.015000186,0.4085127,0.18998504,-1.3156016,0.0446446
-1.2693458,-1.01431,-0.47375447,-0.60154104,-1.1593663,-0.42623132,2.3606472,0.46598065,-5.9133825
0.95451576,0.41963428,-0.6194367,0.41566372,0.64927167,0.8543747,-0.09615886,0.1149294,0.6286365
1.6404669,-0.013809928,-0.56657845,-1.271966,-0.22909704,-0.53401643,0.86235225,1.0880235,-3.9198098
1.2604811,0.95633036,-0.01182027,-1.1129018,0.13962549,1.9953165,0.15630065,-1.9774543,1.1142648
0.06050924,1.1238964,-1.1115466,-0.06774626,-0.84834313,1.1920266,1.0104221,0.80275834,-1.4651697
-0.013168564,0.23312093,-0.7439612,-0.20660698,-1.0765827,1.3785121,0.7910748,-0.1023966,-1.5234975
0.08139057,0.9471346,-2.409285,0.53385293,0.61983293,0.51774204,1.2225755,0.8111182,-1.9227839
-1.535307,0.060480364,0.3094459,-1.214175,1.260382,-0.7859047,-0.10931557,-0.6164479,0.24221374
0.31042454,-0.0019322151,-0.014441073,-0.7423648,0.77638644,2.0322506,-0.24283394,1.3163704,-1.4269236
0.31367135,1.6480418,1.1090065,1.2581974,2.0364096,0.11295402,0.31760794,0.7704038,2.4167013
-0.0041825147,0.27960637,-0.024477866,-1.3869312,2.7851465,-0.91999257,0.009969183,-0.26212305,-0.3360658
-0.5748696,1.1129559,0.46271774,0.13501203,-1.4360282,1.3019416,-2.2598307,1.0654497,4.444194
0.48650268,1.0128577,-0.51011074,0.11045398,-0.51762867,0.6372547,0.533122,0.5758376,-0.17735088
1.801914,0.48900852,-1.7249597,-1.138549,0.34361082,0.6377491,1.2698059,0.18018962,-3.5436678
-1.4039441,0.20734356,-0.043844268,-0.97319347,-0.49939108,0.7359771,0.026927197,-1.2289995,0.5733416
0.701878,-0.14919436,-0.6749125,-0.72784853,-0.18630849,-2.3797438,0.70868707,-0.096818104,-2.2079072
-0.7134003,-0.32303268,-1.0983207,-1.0135136,-0.20661464,-0.029257875,-0.059787985,-0.7357462,-0.6131536
-0.7304207,-0.53923523,0.32428867,-0.59121543,0.27688608,1.3303226,-0.019609902,-0.9184008,-0.3329277
0.51201296,-0.43726984,-1.7132934,0.38833097,0.539144,-0.38863745,-2.3569643,0.313118,3.137705
-1.126989,1.3517561,-1.3194451,-0.9542466,0.044258468,0.14080824,-0.071711324,-0.70052254,1.4359692
0.31079158,0.27356592,-1.1510754,0.7950986,-0.4475851,-0.12395115,0.45724759,-1.3591903,0.9040238
-1.2079408,-1.9443628,0.016029356,0.3765738,0.37046486,-0.96564484,-0.32673442,0.115966894,-1.1641746
-0.5338297,-0.65349835,0.09857558,-1.1919081,2.3327608,0.4475359,0.993276,0.4163796,-3.5855343
-0.22486766,-0.09087838,0.61914974,-1.890715,0.9902297,-2.709476,0.46469018,0.4664963,-2.4392953
-1.6374686,-0.60307217,1.5293149,-0.8118848,1.1816452,0.11782177,-0.13816884,0.61504555,-0.86596864
-1.0424627,0.8820655,0.55009764,0.180556,0.19437066,-0.06738382,0.1897828,-0.01081168,1.1949252
-0.21095045,1.6200354,0.27307037,0.7239742,0.25996345,1.5261759,-0.43840423,1.7429116,1.9194636
0.20164934,0.9144911,1.373846,0.53987795,-1.1105324,-0.99117655,0.59557444,-2.2461708,2.638426
-0.2813589,2.0270636,-0.027594293,0.6435062,-0.6089123,-0.57625383,0.6113787,-0.9263672,2.738127
1.3984319,-0.57319236,0.79363143,-1.4544731,-2.004473,1.8214573,0.51832306,-0.34379673,-2.958816
