f0,f1,f2,f3,f4,f5,f6,f7,target
1.1783502,2.6155298,0.89334786,-0.32728398,-0.2406753,-1.6778547,2.0383482,-1.0669845,-1.3988422
0.44489554,0.8369865,-0.03839947,-1.4175427,-1.0540316,0.058261886,-0.9171923,0.058905043,0.63893116
-0.46124712,0.6464694,-0.19203237,-0.5986154,0.7902024,-1.6937139,-0.055275448,0.3198973,0.34727305
-0.666136,-0.7951536,-0.43889806,1.0417511,-0.83623654,-0.41171896,0.16516794,1.8229434,-3.2498682
0.16344607,-1.0536971,-1.450625,0.7515454,-1.019468,1.1465818,-0.39340243,-0.33404535,-0.3098643
0.49661523,0.3351528,0.30922598,1.5165693,-1.012477,-1.2138364,-1.0510892,0.25210732,-3.0300958
-1.3838197,0.18978715,0.17798592,-1.4324684,-1.8281338,-0.5034339,-0.17449206,-0.51431465,0.054459706
0.60746306,-0.4438894,-0.5413271,0.3271809,-0.69341224,0.42824256,0.82278883,-0.13550624,-1.7803353
1.0364895,0.15711936,0.3511812,0.080675445,0.5142113,-2.1089084,-0.72208226,0.39068866,-2.4705687
-2.049402,-0.9015209,1.3281457,-0.7642693,-0.9707105,0.4733058,-1.5654662,-0.85166365,2.0723493
1.1478765,0.16041496,0.8865722,-1.9253452,0.3924532,0.80883425,0.27571487,2.0689394,-0.9011661
-0.28270465,-1.7241215,-1.3483448,-0.34292805,-0.3229411,0.032784864,0.2279287,-0.6770553,-0.63055784
1.9171933,0.6567444,1.0012971,-1.4621931,-0.89830625,-0.63734055,0.2835721,-0.37434515,-2.6167762
-1.8122865,0.386084,0.473999,0.14988433,-0.31792396,1.7059696,0.52117753,-0.7626635,3.6190972
0.24108963,-0.7936223,-1.55506,0.7816467,0.72453403,-0.14041227,-2.7391691,0.2621531,1.7603348
-0.8161802,-0.036670834,-2.1025953,-0.25943702,0.015000186,0.4085127,0.18998504,-1.3156016,3.4285064
-1.2693458,-1.01431,-0.47375447,-0.60154104,-1.1593663,-0.42623132,2.3606472,0.46598065,-2.9570765
0.95451576,0.41963428,-0.6194367,0.41566372,0.64927167,0.8543747,-0.09615886,0.1149294,1.0659299
1.6404669,-0.013809928,-0.56657845,-1.271966,-0.22909704,-0.53401643,0.86235225,1.0880235,-2.9615562
1.2604811,0.95633036,-0.01182027,-1.1129018,0.13962549,1.9953165,0.15630065,-1.9774543,4.149701
0.06050924,1.1238964,-1.1115466,-0.06774626,-0.84834313,1.1920266,1.0104221,0.80275834,0.5520163
-0.013168564,0.23312093,-0.7439612,-0.20660698,-1.0765827,1.3785121,0.7910748,-0.1023966,0.4781521
0.08139057,0.9471346,-2.409285,0.53385293,0.61983293,0.51774204,1.2225755,0.8111182,1.5799822
-1.535307,0.060480364,0.3094459,-1.214175,1.260382,-0.7859047,-0.10931557,-0.6164479,3.2059307
0.31042454,-0.0019322151,-0.014441073,-0.7423648,0.77638644,2.0322506,-0.24283394,1.3163704,2.3954268
