f0,f1,f2,f3,f4,f5,f6,f7,target
1.1783502,2.6155298,0.89334786,-0.32728398,-0.2406753,-1.6778547,2.0383482,-1.0669845,2.6097527
0.44489554,0.8369865,-0.03839947,-1.4175427,-1.0540316,0.058261886,-0.9171923,0.058905043,2.139052
-0.46124712,0.6464694,-0.19203237,-0.5986154,0.7902024,-1.6937139,-0.055275448,0.3198973,2.395279
-0.666136,-0.7951536,-0.43889806,1.0417511,-0.83623654,-0.41171896,0.16516794,1.8229434,-4.797267
0.16344607,-1.0536971,-1.450625,0.7515454,-1.019468,1.1465818,-0.39340243,-0.33404535,-3.9947293
0.49661523,0.3351528,0.30922598,1.5165693,-1.012477,-1.2138364,-1.0510892,0.25210732,-1.2284346
-1.3838197,0.18978715,0.17798592,-1.4324684,-1.8281338,-0.5034339,-0.17449206,-0.51431465,0.8895794
0.60746306,-0.4438894,-0.5413271,0.3271809,-0.69341224,0.42824256,0.82278883,-0.13550624,-2.7975404
1.0364895,0.15711936,0.3511812,0.080675445,0.5142113,-2.1089084,-0.72208226,0.39068866,1.9527996
-2.049402,-0.9015209,1.3281457,-0.7642693,-0.9707105,0.4733058,-1.5654662,-0.85166365,2.4914212
1.1478765,0.16041496,0.8865722,-1.9253452,0.3924532,0.80883425,0.27571487,2.0689394,1.6585613
-0.28270465,-1.7241215,-1.3483448,-0.34292805,-0.3229411,0.032784864,0.2279287,-0.6770553,-2.3026338
1.9171933,0.6567444,1.0012971,-1.4621931,-0.89830625,-0.63734055,0.2835721,-0.37434515,2.4801095
-1.8122865,0.386084,0.473999,0.14988433,-0.31792396,1.7059696,0.52117753,-0.7626635,-0.01881582
0.24108963,-0.7936223,-1.55506,0.7816467,0.72453403,-0.14041227,-2.7391691,0.2621531,0.2702975
-0.8161802,-0.036670834,-2.1025953,-0.25943702,0.015000186,0.4085127,0.18998504,-1.3156016,-0.6406223
-1.2693458,-1.01431,-0.47375447,-0.60154104,-1.1593663,-0.42623132,2.3606472,0.46598065,-4.2747397
